vendor_action,event_group,action,change_type,object_attrs,object_category
team.remove_member,change_account,modified,AAA,remove_member,Team
team.demote_maintainer,change_account,modified,AAA,demote_maintainer,Team
team.promote_maintainer,change_account,modified,AAA,promote_maintainer,Team
org.disable_saml,change_all,modified,filesystem,disable_saml,Organization
team.destroy,change_all,deleted,filesystem,,Team
team.change_privacy,change_all,modified,filesystem,change_privacy,Team
team.change_parent_team,change_all,modified,filesystem,change_parent_team,Team
org.accept_business_invitation,change_all,modified,filesystem,accept_business_invitation,Organization
org.cancel_business_invitation,change_all,modified,filesystem,cancel_business_invitation,Organization
org.cancel_invitation,change_all,modified,filesystem,cancel_invitation,Organization
org.config.disable_collaborators_only,change_all,modified,filesystem,config.disable_collaborators_only,Organization
org.config.disable_contributors_only,change_all,modified,filesystem,config.disable_contributors_only,Organization
org.config.disable_sockpuppet_disallowed,change_all,modified,filesystem,config.disable_sockpuppet_disallowed,Organization
org.config.enable_collaborators_only,change_all,modified,filesystem,config.enable_collaborators_only,Organization
org.config.enable_contributors_only,change_all,modified,filesystem,config.enable_contributors_only,Organization
org.config.enable_sockpuppet_disallowed,change_all,modified,filesystem,config.enable_sockpuppet_disallowed,Organization
org.confirm_business_invitation,change_all,modified,filesystem,confirm_business_invitation,Organization
org.disable_reader_discussion_creation_permission,change_all,modified,filesystem,disable_reader_discussion_creation_permission,Organization
org.display_commenter_full_name_disabled,change_all,modified,filesystem,display_commenter_full_name_disabled,Organization
org.display_commenter_full_name_enabled,change_all,modified,filesystem,display_commenter_full_name_enabled,Organization
org.enable_reader_discussion_creation_permission,change_all,modified,filesystem,enable_reader_discussion_creation_permission,Organization
org.secret_scanning_custom_pattern_push_protection_disabled,change_all,modified,filesystem,secret_scanning_custom_pattern_push_protection_disabled,Organization
org.secret_scanning_custom_pattern_push_protection_enabled,change_all,modified,filesystem,secret_scanning_custom_pattern_push_protection_enabled,Organization
org.secret_scanning_push_protection_custom_message_disabled,change_all,modified,filesystem,secret_scanning_push_protection_custom_message_disabled,Organization
org.secret_scanning_push_protection_custom_message_enabled,change_all,modified,filesystem,secret_scanning_push_protection_custom_message_enabled,Organization
org.secret_scanning_push_protection_disable,change_all,modified,filesystem,secret_scanning_push_protection_disable,Organization
org.secret_scanning_push_protection_enable,change_all,modified,filesystem,secret_scanning_push_protection_enable,Organization
org.secret_scanning_push_protection_new_repos_enable,change_all,modified,filesystem,secret_scanning_push_protection_new_repos_enable,Organization
org.set_default_workflow_permissions,change_all,modified,filesystem,set_default_workflow_permissions,Organization
org.set_workflow_permission_can_approve_pr,change_all,modified,filesystem,set_workflow_permission_can_approve_pr,Organization
org.create,change_all,created,filesystem,,Organization
org.create_actions_secret,change_all,modified,filesystem,create_actions_secret,Organization
org.create_integration_secret,change_all,modified,filesystem,create_integration_secret,Organization
org.disable_member_team_creation_permission,change_all,modified,filesystem,disable_member_team_creation_permission,Organization
org.enable_member_team_creation_permission,change_all,modified,filesystem,enable_member_team_creation_permission,Organization
org.enable_oauth_app_restrictions,change_all,modified,filesystem,enable_oauth_app_restrictions,Organization
org.remove_actions_secret,change_all,modified,filesystem,remove_actions_secret,Organization
org.remove_integration_secret,change_all,modified,filesystem,remove_integration_secret,Organization
org.rename,change_all,modified,filesystem,,Organization
org.update_actions_secret,change_all,modified,filesystem,update_actions_secret,Organization
org.update_actions_settings,change_all,modified,filesystem,update_actions_settings,Organization
org.update_default_repository_permission,change_all,modified,filesystem,update_default_repository_permission,Organization
org.update_integration_secret,change_all,modified,filesystem,update_integration_secret,Organization
org.advanced_security_disabled_for_new_repos,change_all,modified,filesystem,advanced_security_disabled_for_new_repos,Organization
org.advanced_security_disabled_on_all_repos,change_all,modified,filesystem,advanced_security_disabled_on_all_repos,Organization
